run,hole,solved,time_sec,expansions,path_len
0,center,1,7.241942,8990,31
1,center,1,7.383087,8990,31
2,center,1,5.259753,8990,31
3,center,1,8.973789,8990,31
4,center,1,5.283214,8990,31
5,center,1,7.398959,8990,31
6,center,1,4.460966,8990,31
7,center,1,6.880365,8990,31
8,center,1,6.661898,8990,31
9,center,1,6.67708,8990,31
10,center,1,9.15963,8990,31
11,center,1,3.935718,8990,31
12,center,1,5.677837,8990,31
13,center,1,6.915186,8990,31
14,center,1,5.18323,8990,31
15,center,1,6.609954,8990,31
16,center,1,4.351032,8990,31
17,center,1,6.08477,8990,31
18,center,1,6.366062,8990,31
19,center,1,4.344948,8990,31
20,center,1,6.091915,8990,31
21,center,1,7.457165,8990,31
22,center,1,5.030663,8990,31
23,center,1,7.522925,8990,31
24,center,1,5.327858,8990,31
25,center,1,7.328173,8990,31
26,center,1,6.915493,8990,31
27,center,1,6.580907,8990,31
28,center,1,8.476948,8990,31
29,center,1,7.219508,8990,31
